Unique,ID,Author,Year,Study Type,Region,Habitat,Predator Type,Prey Type,Basal Resource Type,System,Response Type,Response Variable,Response Metric,Control Mean,Control Sample,Control CI.95,Control CI.85,Control t Distribution Value,Control StdErr,Control StdDev,Treatment Mean,Treatment Sample Size,Treatment CI.95,Treatment CI.85,Treatment t Distribution Value,Treatment StdErr,Treatment StdDev,Effect Size,Relative Difference,Notes
1,1,Soomdat et al.,2014,Field Experiment,United States,Salt marsh,Crab,Snail,Snail,Crab_Snail,RITR,Climbing Height,cm,4.8,8,1.245,,4.729248503,,0.744598591,8.6,24,,,,,2.231751352,0.583146285,0.791666667,
2,1,Soomdat et al.,2014,Field Experiment,United States,Salt marsh,Crab,Snail,Snail,Crab_Snail,RITR,Climbing Height,cm,6.5,8,1.505,,4.729248503,,0.900097092,10.32666667,24,,,,,3.157624605,0.462927369,0.588717949,
3,1,Soomdat et al.,2014,Field Experiment,United States,Salt marsh,Crab,Snail,Snail,Crab_Snail,RITR,Climbing Height,cm,10.41,10,2.085,,4.524314326,,1.457314512,14.408,50,,,,,2.2630511,0.325016725,0.384053794,
4,1,Soomdat et al.,2014,Field Experiment,United States,Salt marsh,Crab,Snail,Snail,Crab_Snail,RITR,Climbing Height,cm,10.77,10,2.645,,4.524314326,,1.848727522,14.47,50,,,,,3.662823315,0.295313049,0.34354689,
5,2,Nifong and Silliman,2013,Mesocosm Experiment,United States,Salt marsh,Alligator,Crab,Snail,Alligator_Crab_Snail,RITR,Foraging Prob,,0.32,7,0.17,,4.893823702,,0.091907218,0.12,7,0.16,,4.893823702,,0.086500911,-0.980829253,-0.625,We determined the sample size using the value of N=7 provided in the study.
6,2,Nifong and Silliman,2013,Mesocosm Experiment,United States,Salt marsh,Alligator,Crab,Snail,Alligator_Crab_Snail,TMIE,Basal Mortality Prob,,0.37,7,0.12,,4.893823702,,0.064875683,0.2,7,0.12,,4.893823702,,0.064875683,-0.615185639,-0.459459459,
7,3,Davidson et al.,2015,Observation,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,RITR,Climbing Height,cm,2.98,10,,,,0.3,0.948683298,7.57,10,,,,0.51,1.612761607,0.932269767,1.540268456,
8,3,Davidson et al.,2015,Observation,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,TMIE,Grazing Damage,cm,7.14,10,,,,0.525,1.660195772,12.29,10,,,,1,3.16227766,0.543073147,0.721288515,
9,3,Davidson et al.,2015,Field Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,RITR,Climbing Height,cm,4.97,6,,,,0.495,1.212497423,9.69,6,,,,0.83,2.033076487,0.667674586,0.949698189,The data extracted for the experiment were the cage control and the experimental treatment
10,3,Davidson et al.,2015,Field Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,TMIE,Radulations,cm,10,6,,,,2.35,5.756300896,22.55,6,,,,4.9,12.00249974,0.813149973,1.255,The data extracted for the experiment were the cage control and the experimental treatment
11,4,Griffin et al.,2011,Field Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,RITR,Climbing Height,cm,6.08,8,,,,0.27,0.763675324,13.11,8,,,,0.44,1.244507935,0.768370602,1.15625,
12,4,Griffin et al.,2011,Field Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,TMIE,Aboveground Biomass,g / area,95.64,8,,,,14.45,40.87077195,64.78,8,,,,10.315,29.17522579,-0.389594229,-0.32266834,
13,4,Griffin et al.,2011,Field Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,TMIE,Grazing Damage,cm,1.4,8,,,,0.125,0.353553391,1.95,8,,,,0.135,0.381837662,0.331357136,0.392857143,
14,5,Kimbro,2012,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,NCE,Prey Density,Density of snails on cordgrass leaves,7.85,8,5.27,,4.729248503,,3.151834998,10.29,8,2.925,,4.729248503,,1.749358135,0.270659018,0.310828025,"Data extracted from Fig. 1, using predator ABSENT and predator CUE treatments. 95% CI"
15,5,Kimbro,2012,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,NCE,Prey Density,Density of snails on cordgrass leaves,9.71,8,3.575,,4.729248503,,2.138104387,18.71,8,2.355,,4.729248503,,1.408457575,0.655901858,0.926879506,"Data extracted from Fig. 1, using predator ABSENT and predator CUE treatments. 95% CI"
16,5,Kimbro,2012,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,NCE,Prey Density,Density of snails on cordgrass leaves,11.85,8,3.075,,4.729248503,,1.839068808,18,8,2,,4.729248503,,1.196142314,0.41804389,0.518987342,"Data extracted from Fig. 1, using predator ABSENT and predator CUE treatments. 95% CI"
17,5,Kimbro,2012,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,NCE,Prey Density,Density of snails on cordgrass leaves,15.14,8,2,,4.729248503,,1.196142314,23.43,8,2.145,,4.729248503,,1.282862632,0.436677005,0.547556143,"Data extracted from Fig. 1, using predator ABSENT and predator CUE treatments. 95% CI"
